"trace_id","source_id","source_type","source_artifact","contract_artifacts","contract_records","required_future_evidence","status_or_gate"
"TR-DEC-001","D-025","decision","DECISIONS.md;docs/phase-1-foundation/**","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;foundation-route-coverage.csv;foundation-flow-coverage.csv","33 route instances; /industries retained; content/evidence gates","Founder-reviewed route and content-reference evidence without route activation or fabricated facts","accepted_definition_authority"
"TR-DEC-002","D-026","decision","DECISIONS.md;docs/phase-1-brand-strategy/**","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv;DESIGN_SYSTEM_IMPLICATIONS.md","Evidence in Motion; evidence-led innovation delivery partner; accountable delivery hierarchy","Reference frames proving evidence-first hierarchy and restrained brand expression under real content stress","accepted_definition_authority"
"TR-DEC-003","D-035","decision","DECISIONS.md;docs/phase-1-brand-identity/**","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv;responsive-state-mode-matrix.csv;DESIGN_SYSTEM_IMPLICATIONS.md;component-primitives.csv","Signal Ledger system plus Framework Relay; unregistered and trademark-not-cleared","Reference frames and primitive evidence preserving identity semantics without asserting trademark clearance or production-asset authority","accepted_definition_authority"
"TR-DEC-004","D-036","decision","DECISIONS.md;docs/phase-1-ux-architecture/**","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;foundation-route-coverage.csv;foundation-flow-coverage.csv;responsive-state-mode-matrix.csv","Accepted UX journeys actions states recovery and tests","All contracted frames variants annotations prototypes and route-instance sheets required by the accepted UX package","accepted_definition_authority"
"TR-REQ-001","BR-001","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","J-01; BF-01","UXTEST-004 and UXTEST-014 through UXTEST-020","contracted_future_visual_evidence_required"
"TR-REQ-002","BR-002","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","Actors","Research plan does not invent personas","contracted_future_visual_evidence_required"
"TR-REQ-003","BR-003","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","J-03; industry rows","UXTEST-002 and UXTEST-026","contracted_future_visual_evidence_required"
"TR-REQ-004","BR-004","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","J-03; AI refusal; booking","UXTEST-010 and content review find no fixed/binding terms","contracted_future_visual_evidence_required"
"TR-REQ-005","BR-005","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","17 service/wing routes; IA","UXTEST-002 counts exact 5 wings and 10 services","contracted_future_visual_evidence_required"
"TR-REQ-006","BR-006","requirement","docs/phase-1-foundation/01-product-requirements.md;docs/phase-1-ux-architecture/traceability.csv","README.md;UI_REFERENCE_DESIGN_CONTRACT.md;reference-template-inventory.csv","Content family; CN-001","Claim scan and evidence review","contracted_future_visual_evidence_required"
