stop_id,trigger,scope,action_on_trigger,escalation_target,resume_authority
SC-01,A frame cannot be completed without inventing a gated fact such as legal entity privacy copy a claim a person an office a credential a client outcome provider behaviour or exact public copy,batch,Halt the batch and record the exact missing fact,MA-002 or MA-003 or MA-011,founder
SC-02,The batch own stop condition in design-batch-plan.csv fires,batch,Halt the batch and quote the row verbatim,founder decision,founder
SC-03,A material change to the D-035 identity the 62 PRIM-* primitives the route set or the accepted UX architecture would be needed,programme,Halt all production and raise a change request without amending an accepted package in place,change request under hengshi-change-request-management,founder
SC-04,A batch reaches three of three producer revisions with an unresolved critical high or medium finding,batch,Halt the batch and escalate rather than starting a fourth revision,change request under hengshi-change-request-management,founder
SC-05,A verified free-tier limit blocks contracted evidence,programme,Halt and report the limit and the exact shortfall and do not purchase,MA-010 paid envelope,founder
SC-06,Any operation would require a prohibited write from WS-X-01 through WS-X-11,operation,Refuse the operation and halt and report,founder decision,founder
SC-07,Capability enablement under section 3.5 fails or a capability test would require an unofficial credential path,programme,Halt before any external write and report the gap,founder decision,founder
SC-08,The evidence would need to assert or imply WCAG conformance a test result or a live rendered page,artifact,Halt and void the artifact and re-scope the annotation,independent accessibility review,accessibility reviewer then founder
SC-09,An accepted upstream package would have to be edited to make production work,programme,Halt because accepted packages are immutable outside a change request,change request under hengshi-change-request-management,founder
SC-10,B07 or B09 work is requested or begun under MA-025,programme,Refuse because both are outside scope per section 2.1,MA-026,founder
SC-11,A paid licensed or non-D-035 asset would be needed,batch,Halt and route to the paid envelope and asset-rights gate,MA-010,founder
SC-12,Any external write would touch a file project or team other than the single approved one,operation,Refuse and halt and report,founder decision,founder
