"route_id","path","route_family","route_instance_id","template_id","baseline_frame_name","state_profile","viewport_profile","mode_profile","instance_evidence","semantic_quick_access","immersive_stream_representation","primary_next_actions","content_or_policy_gate","activation_status","browser_profile","time_limit_branch"
"ROUTE-HOME","/","entity","INST-ROUTE-HOME","TPL-PUBLIC-HOME","HSD_UIR_B02_TPL_PUBLIC_HOME_INST_ROUTE_HOME_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-DOCUMENT","VP-PUBLIC","MP-PUBLIC","Route sheet plus standard/narrow composition; full-name/category/promise/action stress; no proof-wall filler","Complete home decision page","Reception/atrium orientation panel","Services; Industries; Work; Demos; Insights; Experts; Trust; About; Contact; Book; World stream","Approved positioning only; entity facts and exact public copy held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-SERVICES","/services","service_collection","INST-ROUTE-SERVICES","TPL-SERVICE-COLLECTION","HSD_UIR_B02_TPL_SERVICE_COLLECTION_INST_ROUTE_SERVICES_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-COLLECTION","VP-PUBLIC","MP-PUBLIC","Route sheet plus all five wings and ten services; longest-title and empty-related-proof stress","Five-wing and ten-service directory","Atrium wing directory","Open wing; search directory; Book","No capability proof inferred from taxonomy","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-WING-STRATEGY","/services/strategy-transformation","service_wing","INST-ROUTE-WING-STRATEGY","TPL-SERVICE-WING","HSD_UIR_B03_TPL_SERVICE_WING_INST_ROUTE_WING_STRATEGY_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-COLLECTION","VP-PUBLIC","MP-PUBLIC","Route sheet showing one-service wing and closed/held immersive delta","Wing overview and contained service","Sequenced Strategy threshold; closed/held/opening/open per accepted wayfinding map","Open Strategy & Architecture; Trust; Book","Wing narrative and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-SERVICE-STRATEGY-ARCHITECTURE","/services/strategy-transformation/strategy-architecture","service","INST-ROUTE-SERVICE-STRATEGY-ARCHITECTURE","TPL-SERVICE-DETAIL","HSD_UIR_B03_TPL_SERVICE_DETAIL_INST_ROUTE_SERVICE_STRATEGY_ARCHITECTURE_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-DETAIL","VP-PUBLIC","MP-PUBLIC","Route sheet with formal-title/context/scope/limits/evidence/source/action slots","Formal service decision unit","Strategy & Architecture room/panel","Related evidence; sources; Book","Scope evidence and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-WING-DIGITAL","/services/digital-products-growth","service_wing","INST-ROUTE-WING-DIGITAL","TPL-SERVICE-WING","HSD_UIR_B03_TPL_SERVICE_WING_INST_ROUTE_WING_DIGITAL_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-COLLECTION","VP-PUBLIC","MP-PUBLIC","Route sheet showing three-service maximum-density wing and release-state delta","Wing overview and three services","Sequenced Digital Products & Growth threshold; closed/held/opening/open per accepted wayfinding map","Open contained service; Trust; Book","Wing narrative and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-SERVICE-PLATFORM-PRODUCT","/services/digital-products-growth/platform-product-engineering","service","INST-ROUTE-SERVICE-PLATFORM-PRODUCT","TPL-SERVICE-DETAIL","HSD_UIR_B03_TPL_SERVICE_DETAIL_INST_ROUTE_SERVICE_PLATFORM_PRODUCT_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-DETAIL","VP-PUBLIC","MP-PUBLIC","Route sheet with formal-title/context/scope/limits/evidence/source/action slots","Formal service decision unit","Platform & Product Engineering room/panel","Related evidence; sources; Book","Scope evidence and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-SERVICE-PRODUCT-EXPERIENCE","/services/digital-products-growth/product-design-experience-engineering","service","INST-ROUTE-SERVICE-PRODUCT-EXPERIENCE","TPL-SERVICE-DETAIL","HSD_UIR_B03_TPL_SERVICE_DETAIL_INST_ROUTE_SERVICE_PRODUCT_EXPERIENCE_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-DETAIL","VP-PUBLIC","MP-PUBLIC","Route sheet stress-tests the longest formal service title and wrapped navigation","Formal service decision unit","Product Design & Experience Engineering room/panel","Related evidence; sources; Book","Scope evidence and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-SERVICE-COMMERCE-GROWTH","/services/digital-products-growth/commerce-content-growth-platforms","service","INST-ROUTE-SERVICE-COMMERCE-GROWTH","TPL-SERVICE-DETAIL","HSD_UIR_B03_TPL_SERVICE_DETAIL_INST_ROUTE_SERVICE_COMMERCE_GROWTH_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-DETAIL","VP-PUBLIC","MP-PUBLIC","Route sheet stress-tests comma-bearing formal title and related-content labels","Formal service decision unit","Commerce Content & Growth Platforms room/panel","Related evidence; sources; Book","Scope evidence and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-WING-AI-DATA","/services/ai-data-automation","service_wing","INST-ROUTE-WING-AI-DATA","TPL-SERVICE-WING","HSD_UIR_B03_TPL_SERVICE_WING_INST_ROUTE_WING_AI_DATA_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-COLLECTION","VP-PUBLIC","MP-PUBLIC","Route sheet shows first-release wing and two-service structure","Wing overview and two services","Sequenced AI Data & Automation threshold; closed/held/opening/open per accepted wayfinding map","Open contained service; Trust; Book","Wing narrative and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
"ROUTE-SERVICE-AI-AUTOMATION","/services/ai-data-automation/ai-systems-agentic-automation","service","INST-ROUTE-SERVICE-AI-AUTOMATION","TPL-SERVICE-DETAIL","HSD_UIR_B03_TPL_SERVICE_DETAIL_INST_ROUTE_SERVICE_AI_AUTOMATION_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","SP-PUBLIC-DETAIL","VP-PUBLIC","MP-PUBLIC","Route sheet adds AI governance/source/refusal limits without operational claims","Formal service decision unit with governance limits","AI Systems & Agentic Automation room/panel","Sources; Trust; ask AI; human help; Book","Scope evidence AI/security review and owner held","planned_inactive_not_published","BP-NFR-006","TL-NOT-APPLICABLE"
