"primitive_id","primitive_name","primitive_category","interaction_class","required_anatomy","required_variants","stream_presence","pseudo_states","transactional_or_content_states","state_redundancy","responsive_and_mode_obligations","reference_templates_or_flows","source_decisions","source_requirements","source_ux_tests","source_actions","implementation_evidence_expectations","gated_facts"
"PRIM-001","Public semantic shell","shell_navigation","composite_interactive","skip link;entity lockup;primary navigation;utility navigation;main landmark;page status region;footer;attribution notice link to /credits;direct Book access;delivery stream control;stream fieldset;stream legend naming delivery stream control and in-force stream;four native stream radio inputs sharing one name;separate always-present Apply submit button;persistent visible stream advisement inside fieldset before Apply in DOM reading and visual order","public;no_script;offline;unsupported_browser;prior_release;stream_high;stream_medium;stream_low;stream_semantic","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;offline;error;unavailable;current;stream-preference-write-failed;stream-in-force;stream-pending","visible text plus shape icon border pattern or position;never color only","12/6/4 grid;320 CSS px;400% zoom;text spacing;forced colors;grayscale;reduced motion;unavailable font or image;complete initial semantic content before script;delivery stream control present and keyboard operable in every stream including S-SEMANTIC;stream change announced politely in the page status region without moving focus;WCAG 2.2 Level AA target for all applicable full pages and complete processes including third-party steps;definition and reference designs do not establish conformance;current latest two stable evergreen releases;Safari/iOS 16.4 minimum legacy floor;semantic Quick Access for below-floor or otherwise unsupported clients;stream group accessible name reports in-force stream until explicit submit;checked stream radio reports pending selection independently of in-force stream;stream radio names use peer vocabulary without lesser-choice labels;above-ceiling stream radios remain present with textual unavailability;Apply accessible name states it applies the selection and differs from group and radio names;stream selection by arrow Tab pointer or touch changes only checked state without applying reloading transitioning or other accessibility-tree changes;stream applies only on explicit Apply activation by Enter Space pointer or touch or native Enter submission of the same form;stream never applies on focus selection blur or timeout;stream advisement is programmatically associated with both fieldset and Apply;stream advisement explains re-entry into the chosen stream while preserving current location;stream advisement uses identical visible wording in every stream and is not tooltip title hover-only focus-only or accessible-description-only","entity;service_collection;service_wing;service;industry_collection;industry;verified_work_collection;verified_work_detail;demo_collection;demo_detail;insight_collection;article;expert_collection;person;trust_collection;trust_topic;about;attribution;contact;booking;J-01;J-03;J-04","D-025;D-026;D-035;D-036;D-008;D-009","BR-001;BR-005;FR-001;FR-005;SEO-001;SEO-004;UX-001;UX-002;UX-003;NFR-001;NFR-006","UXTEST-001;UXTEST-002;UXTEST-004;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-044","ACT-01;ACT-02;ACT-09;ACT-11;ACT-20","Approved reference frames plus semantic landmark and keyboard evidence;later rendered parity against token map;dated current-version browser matrix;Safari mobile layout input and safe-area evidence;unsupported-client semantic Quick Access recovery;Stream control review states announcements on group entry pending-radio change and reaching Apply;Stream advisement review covers sighted mouse keyboard without AT screen reader and 400% magnifier before operation","Exact public copy;legal entity facts;contacts;content owners;route activation remain gated"
"PRIM-002","Primary navigation and narrow disclosure","shell_navigation","composite_interactive","menu trigger;navigation label;destination list;current item;Book item;close action","wide_inline;narrow_disclosure;staff_separate","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","expanded;collapsed;current;unavailable","visible text plus shape icon border pattern or position;never color only","DOM order unchanged across widths;focus enters and returns;no overlap at 320 CSS px or 400% zoom;forced-colors boundary;Book reachable without disclosure where feasible","all_public_route_families;J-01;DF-01","D-025;D-026;D-035;D-036;D-008","FR-001;FR-005;FR-014;SEO-001;UX-003","UXTEST-004;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-039","ACT-01","Reference metadata for disclosure states;keyboard sequence;focus return;touch target measurement;later browser evidence","Final navigation copy and route publication state remain gated"
"PRIM-003","Breadcrumb trail","shell_navigation","interactive","navigation label;ordered ancestor links;current page text","public;staff;collapsed_overflow_only_if_reviewed","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","current;loading;stale;unavailable","visible text plus shape icon border pattern or position;never color only","Wrap in reading order;no horizontal loss at 320 CSS px or 400% zoom;separator exposed decoratively only;forced-colors visible","service_wing;service;industry;verified_work_detail;demo_detail;article;person;trust_topic;booking;J-01;J-04;PF-01","D-025;D-026;D-035;D-036;D-009","SEO-005;UX-001;UX-003","UXTEST-001;UXTEST-021;UXTEST-022;UXTEST-023","ACT-02","Reference state set plus landmark/name/order and later canonical-link verification","Final route titles and retired-route policy remain gated"
"PRIM-004","Directory and search","shell_navigation","composite_interactive","open control;dialog or panel heading;search label/input;clear;group navigation;status;close","semantic_header;world_HUD;static_directory_index","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;empty;error;offline;success;stale;unavailable","visible text plus shape icon border pattern or position;never color only","Narrow full-width reflow;visible close and clear;focus containment only when modal;reduced-motion open;forced-colors fields;static directory without derived index","all_public_route_families;DF-01;EXCL-INTERNAL-SEARCH","D-025;D-026;D-035;D-036;D-008;D-017","FR-001;FR-014;SEO-003;UX-003;DATA-008","UXTEST-008;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-039","ACT-03;ACT-04","Reference variants with empty/no-result/index-failure;keyboard focus loop or nonmodal order;later query privacy and canonical-link tests","Raw query analytics;URL query model;ranking;search provider remain gated"
"PRIM-005","Directory result row","content_evidence","interactive","type label;formal title;context;evidence or availability state;canonical link;World stream location","canonical_only;canonical_plus_optional_location;closed_room","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;success;held;stale;unavailable;empty","visible text plus shape icon border pattern or position;never color only","Stack labels without truncation;24 by 24 target or documented exception;forced colors and grayscale retain type/state;no hover-only preview","all_public_route_families;DF-01","D-025;D-026;D-035;D-036","FR-001;FR-014;SEO-004;SEO-007;UX-003;UX-008","UXTEST-003;UXTEST-008;UXTEST-021;UXTEST-024;UXTEST-038;UXTEST-039","ACT-04;ACT-05","Reference row states and canonical mappings;later release-checksum and keyboard activation evidence","Search ranking;room open state;summary copy;content approval remain gated"
"PRIM-006","Excluded-surface guard and safe destination","shell_navigation","composite_interactive","plain status heading;non-disclosing explanation;safe destination links;retry or sign-in only where applicable","world;admin;nonpublic_publication;chat_session;internal_search;tracking_variant;filter_sort_variant;staging;defense_absent","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","permission_denied;not_found;retired;expired;offline;unavailable;held","visible text plus shape icon border pattern or position;never color only","Semantic and readable without script;no gated detail leaks at any width;focus on status heading;safe links survive forced colors and unavailable assets","EXCL-WORLD;EXCL-ADMIN;EXCL-NONPUBLIC-PUBLICATION;EXCL-CHAT-SESSIONS;EXCL-INTERNAL-SEARCH;EXCL-TRACKING-PARAMETERS;EXCL-FILTER-SORT-VARIANTS;EXCL-STAGING;EXCL-DEFENSE","D-025;D-026;D-035;D-036;D-009;D-017;D-019","BR-009;SEO-003;PUB-004;SEC-002;SEC-009;UX-001","UXTEST-002;UXTEST-010;UXTEST-027;UXTEST-028;UXTEST-044","ACT-02;ACT-17;ACT-33","Reference for all nine safe outcomes;later authorization and indexing negative tests","Defense details;draft existence;account existence;staging access rules;retired-route copy remain gated"
"PRIM-007","Evidence state label","content_evidence","static","visible state label;frozen marker;frozen line pattern;surface-safe color;source or limitation context","verified;demo;proposed;conditional;unavailable;error","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","not_applicable","verified;demo;proposed;conditional;held;unavailable;error","visible text plus shape icon border pattern or position;never color only","Full labels wrap;marker and pattern survive grayscale and forced colors;minimum meaningful text size;unavailable font keeps distinction","verified_work_collection;verified_work_detail;demo_collection;demo_detail;insight_collection;article;expert_collection;person;trust_collection;trust_topic;service;industry;J-03;J-04","D-025;D-026;D-035;D-036;D-007","BR-007;BR-008;PUB-006;PUB-007;UX-001","UXTEST-003;UXTEST-010;UXTEST-024;UXTEST-026","ACT-13;ACT-38","Exact frozen token and grammar comparison;contrast in every surface mode;later evidence predicate test","Verified status;evidence source;review date;rights;owner;assurance state remain gated per item"
"PRIM-008","Release and availability label","content_evidence","status_announced","plain status;scope;last authoritative state;limitation;next safe action","planned;active;prior_active;candidate_nonpublic;closed;held_content;opening;open;unavailable","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","not_applicable","loading;pending;success;held;stale;unavailable;error","visible text plus shape icon border pattern or position;never color only","Persistent text at reflow;no animated-only transition;forced colors retain boundary;status announcement does not steal focus","service_wing;service;DF-01;PF-01;SOF-01A;SOF-01B","D-025;D-026;D-035;D-036;D-011;D-019","BR-011;BR-012;FR-002;PUB-001;PUB-005;UX-008","UXTEST-003;UXTEST-029;UXTEST-031;UXTEST-038;UXTEST-040","ACT-05;ACT-38;ACT-39;ACT-41;ACT-42","Reference state sheet and one-to-one wayfinding map;later checksum and announcement evidence","Actual release activation;opening wording;staff availability;response expectation remain gated"
"PRIM-009","Collection template","content_evidence","composite_interactive","decision header;collection purpose;availability state;filters if approved;item region;empty or held explanation;next actions","work;demos;insights;experts;trust;services;industries","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;empty;held;error;offline;success;stale","visible text plus shape icon border pattern or position;never color only","One-column reading order at narrow widths;local filters only;cards or rows reflow;empty state remains useful;no image dependency","service_collection;industry_collection;verified_work_collection;demo_collection;insight_collection;expert_collection;trust_collection;J-03;J-04","D-025;D-026;D-035;D-036;D-007;D-009","BR-005;BR-008;FR-017;SEO-004;PUB-006;PUB-007;UX-001","UXTEST-002;UXTEST-004;UXTEST-023;UXTEST-024;UXTEST-026","ACT-02;ACT-04;ACT-13","Reference templates for each collection and truthful empty/held states;later route and content evidence checks","Collection publication choice;items;filters;owners;sources;rights remain gated"
"PRIM-010","Collection item card or row","content_evidence","interactive","classification;formal title;summary;source or owner slot;evidence state;limitation;canonical action","work;demo;insight;expert;trust;service;industry;empty_placeholder_not_allowed","S-HIGH;S-LOW;S-MEDIUM;S-SEMANTIC","base;hover;focus-visible;pressed;disabled","loading;held;unavailable;stale;error;success","visible text plus shape icon border pattern or position;never color only","Card never becomes only link semantics;title and label wrap;list alternative;focus visible beyond shadow;asset failure preserves content","service_collection;industry_collection;verified_work_collection;demo_collection;insight_collection;expert_collection;trust_collection;J-03;J-04","D-025;D-026;D-035;D-036;D-007","BR-007;BR-008;FR-017;PUB-006;PUB-007;UX-001","UXTEST-021;UXTEST-023;UXTEST-024;UXTEST-026;UXTEST-039","ACT-02;ACT-13","Reference variants using structural fixtures;later canonical link and evidence-label tests","Item existence;image;person;client;outcome;owner;rights;review state remain gated"
