"source_id","source_type","ux_artifact","flow_or_section","acceptance_evidence","status"
"D-025","decision","README.md;route-room-parity.csv","Authority; ROUTE-INDUSTRIES","UXTEST-002 proves retained /industries despite stale JSON status","approved_fact"
"D-026","decision","UX_ARCHITECTURE.md","Experience thesis; content families","Independent UX/design review verifies evidence-led promise without unsupported copy","approved_fact"
"D-035","decision","README.md;UX_ARCHITECTURE.md","Authority; responsive/accessibility","Independent review verifies accepted identity implications only and no UI implementation","approved_fact"
"BR-001","requirement","UX_ARCHITECTURE.md;FLOWS.md","J-01; BF-01","UXTEST-004 and UXTEST-014 through UXTEST-020","approved_fact"
"BR-002","requirement","UX_ARCHITECTURE.md","Actors","Research plan does not invent personas","approved_fact"
"BR-003","requirement","UX_ARCHITECTURE.md;route-room-parity.csv","J-03; industry rows","UXTEST-002 and UXTEST-026","approved_fact"
"BR-004","requirement","UX_ARCHITECTURE.md;FLOWS.md","J-03; AI refusal; booking","UXTEST-010 and content review find no fixed/binding terms","approved_fact"
"BR-005","requirement","route-room-parity.csv;UX_ARCHITECTURE.md","17 service/wing routes; IA","UXTEST-002 counts exact 5 wings and 10 services","approved_fact"
"BR-006","requirement","UX_ARCHITECTURE.md;CONTENT_ANALYTICS_TESTS.md","Content family; CN-001","Claim scan and evidence review","approved_fact"
"BR-007","requirement","UX_ARCHITECTURE.md;CONTENT_ANALYTICS_TESTS.md","J-04; CN-004 through CN-008","UXTEST-026 and claim scan","approved_fact"
"BR-008","requirement","UX_ARCHITECTURE.md;route-room-parity.csv","Cross-links; Work/Demos","UXTEST-003 and UXTEST-026 distinguish collections","approved_fact"
"BR-009","requirement","excluded-surfaces.csv;FLOWS.md","EXCL-DEFENSE; AF-01","UXTEST-010 and route exclusion validation","approved_fact"
"BR-010","requirement","UX_ARCHITECTURE.md","Responsive/localization architecture","Responsive review verifies English launch and localization readiness","approved_fact"
"BR-011","requirement","UX_ARCHITECTURE.md;wayfinding-release-map.csv","J-02; campus release sequence","UXTEST-038 verifies foundation prerequisite before wing ordinal 1","approved_fact"
"BR-012","requirement","UX_ARCHITECTURE.md;wayfinding-release-map.csv","Campus release sequence; wing states","UXTEST-038 rejects out-of-order open wing","approved_fact"
"FR-001","requirement","UX_ARCHITECTURE.md;route-room-parity.csv","IA; service routes","UXTEST-001 through UXTEST-004","approved_fact"
"FR-002","requirement","UX_ARCHITECTURE.md;FLOWS.md","J-02; DF-01","UXTEST-003 checksum parity","approved_fact"
"FR-003","requirement","UX_ARCHITECTURE.md","J-02","UXTEST-005 and UXTEST-007","proposed_ux"
"FR-004","requirement","FLOWS.md","BF-01A","UXTEST-014 UXTEST-015 and UXTEST-045 prove exact six data fields plus one consent record","approved_fact"
"FR-005","requirement","UX_ARCHITECTURE.md;FLOWS.md","J-01; BF-01","UXTEST-004","approved_fact"
"FR-006","requirement","FLOWS.md","BF-01C","UXTEST-017","approved_fact"
