"decision_id","decision_summary","requirement_ids","foundation_artifacts","acceptance_evidence","coverage_status","open_gate_or_next_slice"
"D-001","Non-destructive continuation; current code and GLB are prototype evidence","OPS-002; UX-009","01-product-requirements.md; 05-evidence-and-claims-ledger.json","Dirty-tree preservation boundary; GLB reference-only disposition; no application or GLB edit in this slice","covered_in_foundation","MA-004 controls any existing-geometry reuse"
"D-002","Complete and approve definition before application development","OPS-003","01-product-requirements.md","Phase 1 remains in progress; source dependency migration infrastructure and production design work remain excluded","covered_in_foundation","Complete and founder-approve the full Phase 1 package"
"D-003","Codex-native specialist workflow with independent review","OPS-001","01-product-requirements.md; reviews/requirements-review-iteration-1.md; reviews/seo-evidence-review-iteration-1.md","Bounded producer contracts; non-overlapping write scopes; independent review and revision evidence","covered_in_foundation","Root owns durable Phase 1 state; later specialist slices repeat the gate"
"D-004","Newest mutually compatible stable technology","UX-011; OPS-004; OPS-005; OPS-006; OPS-007; OPS-008; OPS-009; OPS-011","01-product-requirements.md","Compatibility requirements include Context7 primary evidence coupled graph deterministic locks rollback ADR and recheck","covered_with_later_phase_1_dependency","Next Phase 1 compatibility/architecture slice must produce the dated graph and exact evidence"
"D-005","Audience sectors custom discovery and qualified booking","BR-001; BR-002; BR-003; BR-004; BR-009; FR-004; FR-019","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 04-conversion-measurement-model.md; 06-canonical-route-inventory.json","Audience and sector hypotheses; complete qualification predicate; email challenge versus verification boundary; budget and AI optional; agriculture/mining routes","covered_in_foundation","MA-003 sector experts/proof; founder decides any additional mandatory booking field"
"D-006","Premium identity with no unsupported superiority claims","BR-006; BR-007; SEO-009","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 05-evidence-and-claims-ledger.json","Exact entity name; world-first/superiority quarantine; verified-fact-only entity rules","covered_with_later_phase_1_dependency","Brand strategy identity and founder claims approval remain later Phase 1 work"
"D-007","Verified Work separate from Hengshi-owned Demos; human evidence review","BR-007; BR-008; SEO-006; SEO-011; PUB-006; PUB-007","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 05-evidence-and-claims-ledger.json; 06-canonical-route-inventory.json","Six seeded projects and example media quarantined; empty Work/Demos states; expert and proof gates explicit","covered_in_foundation","MA-003 supplies verified cases demos experts owners rights and consent"
"D-008","Semantic HTML and equivalent Quick Access are first class","FR-001; FR-002; SEO-001; SEO-002; SEO-003; SEO-007; UX-002","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 06-canonical-route-inventory.json","Semantic initial-HTML contract; canonical policy; excluded surfaces; each 3D room links to canonical HTML","covered_in_foundation","UX/UI and technical architecture slices must define implementation and acceptance evidence"
"D-009","Stable canonical content routes and expert-reviewed content operations","BR-010; FR-017; FR-018; SEO-004; SEO-010; SEO-012","01-product-requirements.md; 02-market-competitor-seo-evidence.md; 03-seo-entity-route-editorial-strategy.md; 06-canonical-route-inventory.json","Thirty-three unique routes/patterns; English-only rule; ethical editorial and authority policy; six cornerstone briefs","covered_in_foundation","Founder reviews proposed /industries hub; MA-003 provides experts/owners/proof"
"D-010","Five wings and ten formal services","BR-005; FR-001; FR-017; UX-008","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 06-canonical-route-inventory.json","Five unique wing hubs and ten unique formal service routes; sign-to-formal-title requirement","covered_in_foundation","Service owners and final service evidence/copy remain MA-003"
"D-011","Foundation and wing opening sequence","BR-011; BR-012; FR-003; AI-009; NFR-008","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md","Foundation/wing order; transparent Reception AI role; skippable approximate-eight-second arrival","covered_with_later_phase_1_dependency","Brand UX motion 3D AI architecture and design evidence remain later Phase 1 work"
"D-012","Directed point-and-click with complete accessible recovery","FR-012; FR-013; FR-014; UX-001; UX-002; UX-003; UX-004; UX-005; UX-006; UX-007; UX-008; NFR-008","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 04-conversion-measurement-model.md","Keyboard/reduced-motion/non-WebGL/asset-failure parity; direct booking survives every optional experience failure","covered_with_later_phase_1_dependency","UX accessibility motion sound and 3D specifications/reviews remain later Phase 1 work"
"D-013","Preserve old GLB and require proven Blender source/provenance","UX-009; UX-010; PUB-006","01-product-requirements.md; 05-evidence-and-claims-ledger.json","GLB is reference-only with missing license/editable source; side-by-side and provenance rules explicit","covered_with_later_phase_1_dependency","MA-004 and later 3D/Blender production specification"
"D-014","Azure-managed target with PostgreSQL truth and immutable delivery","FR-016; DATA-001; DATA-002; SEC-006; OPS-004; OPS-010; OPS-011; OPS-012","01-product-requirements.md","Azure target boundary; PostgreSQL-only production; rebuildable derived data; Redis production counters; immutable release requirements","covered_with_later_phase_1_dependency","Technical architecture cost regional-GA and compatibility slices remain"
"D-015","Approved-knowledge Azure/NVIDIA policy routing","AI-001; AI-002; AI-003; AI-004; AI-005; AI-006; AI-007; AI-008; DATA-009; OPS-010","01-product-requirements.md; 05-evidence-and-claims-ledger.json","Grounding citations cannot-verify nonbinding AI residency de-identification and prompt-injection requirements; AI capability held from public claims","covered_with_later_phase_1_dependency","MA-005/MA-007 plus AI security privacy architecture and provider evidence"
"D-016","Anonymous chat explicit human availability console alerts and booking","FR-005; FR-006; FR-007; FR-008; FR-009; FR-010; FR-011; FR-016; FR-019; DATA-010","01-product-requirements.md; 04-conversion-measurement-model.md","Direct booking independent of AI; explicit availability; pending/expired/undeliverable/resend/verified transitions; idempotent lineage/outbox/reconciliation; voice/video opt-in","covered_in_foundation","MA-006 assigns mailbox groups owners/backups Teams/Graph policy"
"D-017","Consent retention deletion no training and aggregate analytics","BR-009; DATA-003; DATA-004; DATA-005; DATA-006; DATA-007; DATA-008; DATA-009; AI-006; AI-007; AI-008; SEC-009","01-product-requirements.md; 04-conversion-measurement-model.md; 05-evidence-and-claims-ledger.json","No accounts/uploads; ephemeral non-consented chat; approved 90-day chat/brief/lead scope; class-by-class booking/provider/consent/audit/tombstone gate; verified deletion; no training; minimized analytics","covered_with_later_phase_1_dependency","MA-002 legal privacy consent and data-classification approval"
"D-018","Entra roles break-glass cookies CSRF rate limits and security review","SEC-001; SEC-002; SEC-003; SEC-004; SEC-005; SEC-006; SEC-007; SEC-008; SEC-009; SEC-010; AI-008","01-product-requirements.md; 05-evidence-and-claims-ledger.json","Negative server authorization; atomic break-glass controls; approved random 24+ credential threshold; exact session requirements; no trust/certification inflation","covered_with_later_phase_1_dependency","Security/privacy architecture threat model and independent security review remain"
"D-019","Atomic publication and draft isolation","FR-002; SEO-005; SEO-008; SEO-011; PUB-001; PUB-002; PUB-003; PUB-004; PUB-005; AI-001","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 04-conversion-measurement-model.md; 05-evidence-and-claims-ledger.json; 06-canonical-route-inventory.json","One checksum across HTML/search/AI/3D; author separation; previous release survives failure; invalid public attribution is a zero-tolerance invariant","covered_in_foundation","Publication API/data architecture remains later Phase 1 work"
"D-020","Performance load availability RPO/RTO and qualified organic measurement","BR-001; DATA-008; NFR-001; NFR-002; NFR-003; NFR-004; NFR-005; NFR-006; NFR-007","01-product-requirements.md; 03-seo-entity-route-editorial-strategy.md; 04-conversion-measurement-model.md","Approved CWV transfer load availability and recovery targets preserved; conversion baselines not invented; device-tier metrics explicitly pending","covered_with_later_phase_1_dependency","Founder reviews RPO/RTO residual risk and later 3D device-tier thresholds"
"D-021","Dependency governance SBOM licenses canaries and immutable pins","OPS-006; OPS-007; OPS-012; OPS-013","01-product-requirements.md","Exact lock/SBOM/license/deprecation and weekly/monthly/quarterly governance requirements","covered_with_later_phase_1_dependency","Dated compatibility and supply-chain/deployment strategy remain later Phase 1 work"
"D-022","Paid/external actions and credentials remain separately gated","SEC-008; OPS-014","01-product-requirements.md; 05-evidence-and-claims-ledger.json","No secrets external writes paid activation or inferred cost; all affected claims/tools remain held","covered_with_later_phase_1_dependency","MA-010 cost envelopes and each applicable external-action approval"
"D-023","Phases 0 through 9 execute in approved order","BR-012; OPS-009; OPS-015","01-product-requirements.md","Foundation slice states no Phase 1 acceptance; later phases remain sequencing markers","covered_in_foundation","Root maintains durable phase state and opens later work only after acceptance"
"D-024","Phase 0 accepted; Phase 1 definition opened only","OPS-003; OPS-015","01-product-requirements.md","Foundation files are definition-only; no application dependency migration infrastructure design publication Git or deployment action","covered_in_foundation","Overall Phase 1 remains in progress until complete package and founder approval"
