route_id,path,route_family,semantic_quick_access,immersive_stream_representation,primary_next_actions,content_or_policy_gate
ROUTE-HOME,/,entity,"Complete home decision page","Reception/atrium orientation panel","Services; Industries; Work; Demos; Insights; Experts; Trust; About; Contact; Book; World stream","Approved positioning only; entity facts/public copy held"
ROUTE-SERVICES,/services,service_collection,"Five-wing and ten-service directory","Atrium wing directory","Open wing; search directory; Book","No capability proof inferred from taxonomy"
ROUTE-WING-STRATEGY,/services/strategy-transformation,service_wing,"Wing overview and contained service","Sequenced Strategy threshold; closed/held/opening/open per wayfinding-release-map.csv","Open Strategy & Architecture; Trust; Book","Wing narrative/owner held"
ROUTE-SERVICE-STRATEGY-ARCHITECTURE,/services/strategy-transformation/strategy-architecture,service,"Formal service decision unit","Strategy & Architecture room/panel","Related evidence; sources; Book","Scope/evidence/owner held"
ROUTE-WING-DIGITAL,/services/digital-products-growth,service_wing,"Wing overview and three services","Sequenced Digital Products & Growth threshold; closed/held/opening/open per wayfinding-release-map.csv","Open contained service; Trust; Book","Wing narrative/owner held"
ROUTE-SERVICE-PLATFORM-PRODUCT,/services/digital-products-growth/platform-product-engineering,service,"Formal service decision unit","Platform & Product Engineering room/panel","Related evidence; sources; Book","Scope/evidence/owner held"
ROUTE-SERVICE-PRODUCT-EXPERIENCE,/services/digital-products-growth/product-design-experience-engineering,service,"Formal service decision unit","Product Design & Experience Engineering room/panel","Related evidence; sources; Book","Scope/evidence/owner held"
ROUTE-SERVICE-COMMERCE-GROWTH,/services/digital-products-growth/commerce-content-growth-platforms,service,"Formal service decision unit","Commerce Content & Growth Platforms room/panel","Related evidence; sources; Book","Scope/evidence/owner held"
ROUTE-WING-AI-DATA,/services/ai-data-automation,service_wing,"Wing overview and two services","Sequenced AI Data & Automation threshold; closed/held/opening/open per wayfinding-release-map.csv","Open contained service; Trust; Book","Wing narrative/owner held"
ROUTE-SERVICE-AI-AUTOMATION,/services/ai-data-automation/ai-systems-agentic-automation,service,"Formal service decision unit with governance limits","AI Systems & Agentic Automation room/panel","Sources; Trust; ask AI; human help; Book","Scope/evidence/AI-security review/owner held"
ROUTE-SERVICE-DATA-ANALYTICS,/services/ai-data-automation/data-platforms-analytics,service,"Formal service decision unit","Data Platforms & Analytics room/panel","Related evidence; sources; Book","Scope/evidence/owner held"
ROUTE-WING-IMMERSIVE,/services/immersive-creative,service_wing,"Wing overview and two services","Sequenced Immersive & Creative threshold; closed/held/opening/open per wayfinding-release-map.csv","Open contained service; Trust; Book","Wing narrative/owner held"
ROUTE-SERVICE-SPATIAL,/services/immersive-creative/spatial-computing-immersive-platforms,service,"Formal service decision unit and non-WebGL examples","Spatial Computing & Immersive Platforms room/panel","Demos; accessibility limits; sources; Book","Performance/accessibility/evidence/owner held"
ROUTE-SERVICE-CREATIVE,/services/immersive-creative/creative-visual-design-services,service,"Formal service decision unit","Creative & Visual Design Services room/panel","Demos; sources; Book","New content/licensed proof/owner held"
ROUTE-WING-CLOUD-TRUST,/services/cloud-reliability-trust,service_wing,"Wing overview and two services","Sequenced Cloud Reliability & Trust threshold; closed/held/opening/open per wayfinding-release-map.csv","Open contained service; Trust; Book","Wing narrative/owner held"
ROUTE-SERVICE-CLOUD-RELIABILITY,/services/cloud-reliability-trust/cloud-devops-platform-reliability,service,"Formal service decision unit","Cloud DevOps & Platform Reliability room/panel","Related evidence; Trust; Book","Platform-neutral scope/evidence/owner held"
ROUTE-SERVICE-SECURITY-TRUST,/services/cloud-reliability-trust/security-privacy-trust-engineering,service,"Formal service decision unit with precise assurance state","Security Privacy & Trust Engineering room/panel","Trust topics; sources; Book","Security review; no certification/compliance claim"
ROUTE-INDUSTRIES,/industries,industry_collection,"Retained Agriculture/Mining comparison hub","Atrium industry directory","Agriculture; Mining; related services; Book","D-025 retains route; content approval held"
ROUTE-INDUSTRY-AGRICULTURE,/industries/agriculture,industry,"Sector/service-intersection decision page","Agriculture context panel, never sector-history exhibit","Related services; evidence; expert; Book","Named reviewer/evidence; no implied client history"
ROUTE-INDUSTRY-MINING,/industries/mining,industry,"Sector/service-intersection decision page","Mining context panel, never sector-history exhibit","Related services; evidence; expert; Book","Named reviewer/evidence; no implied client history"
ROUTE-WORK,/work,verified_work_collection,"Verified Work collection or approved honest empty state","Evidence gallery directory with verified-only labels","Open case; Services; Book","No verified cases; MA-003"
ROUTE-WORK-DETAIL,/work/{verified-case-slug},verified_work_detail,"Evidence-backed case narrative","Case evidence panel linked to canonical detail","Sources; related service/industry/expert; Book","Per-case rights/evidence/consent/approval"
ROUTE-DEMOS,/demos,demo_collection,"Clearly labeled Hengshi-owned Demos collection or approved empty state","Demo gallery directory distinct from Work","Open demo; Services; Book","No approved demos; MA-003"
ROUTE-DEMO-DETAIL,/demos/{capability-demo-slug},demo_detail,"Owned demo narrative with limits/reproducibility","Demo panel linked to canonical detail","Limitations; provenance; related services; Book","Ownership/provenance/security/approval"
ROUTE-INSIGHTS,/insights,insight_collection,"Expert-reviewed insight collection or approved useful empty state","Library directory","Open insight; related services; Book","No thin/mass-generated substitute; MA-003"
ROUTE-INSIGHT-DETAIL,/insights/{article-slug},article,"Original expert-reviewed article","Library reading panel linking to full semantic article","Sources; reviewer; related expert/service/industry; Book","Named reviewer/primary evidence/approval"
ROUTE-EXPERTS,/experts,expert_collection,"Verified expert collection or approved honest empty state","Expert directory","Open profile; related service/insight; Book","No verified profiles; MA-003"
ROUTE-EXPERT-DETAIL,/experts/{verified-person-slug},person,"Verified profile and consented claims","Expert profile panel linked to canonical detail","Credentials/evidence; related content; Book","Identity/role/biography/rights/consent/approval"
ROUTE-TRUST,/trust,trust_collection,"Trust topic directory separating requirement/control/evidence","Trust Center directory","Open topic; related services; contact; Book","Only truthful scoped implemented/approved states"
ROUTE-TRUST-DETAIL,/trust/{topic-slug},trust_topic,"Specific dated trust/policy topic","Trust evidence panel linked to canonical detail","Evidence; limitation; owner/review date; contact; Book","Legal/security review where applicable"
ROUTE-ABOUT,/about,about,"Verified identity and operating-approach page","About/identity panel","Services; Trust; Contact; Book","No inferred history/size/office/customer/award"
ROUTE-CONTACT,/contact,contact,"Verified direct-help choices and contact route","Reception human-help panel","Book; available human help; verified contact method","Contacts/consent/privacy/failure route held"
ROUTE-BOOK,/book,booking,"Complete direct qualified-booking journey","Booking panel that opens same semantic booking flow","Qualify; verify email; select slot; confirm; recover","Mailbox/calendar/provider/legal copy rules held"
ROUTE-CREDITS,/credits,attribution,"Complete attribution notice reachable from the footer in every delivery stream","Attribution panel that opens the same semantic notice","Return to prior route; open source asset licence","Exact licence text author names and source URLs held to the asset provenance ledger"
