"decision_id","decision_summary","requirement_ids","claim_ledger_ids","brand_artifacts","strategy_effect","open_gate"
"D-001","Preserve existing repository and GLB as prototype evidence","OPS-002;UX-009","ECL-022","README.md;06-reference-accessibility-and-implementation.md","Prototype and exterior GLB are non-authoritative and reference-only; strategy creates no identity asset or implementation.","MA-004 controls any geometry reuse; later identity and 3D approval remain"
"D-002","Complete definition before application development","OPS-003","","README.md;03-BRAND_STRATEGY.md","Strategy is definition-only and cannot authorize identity or application work.","Complete Phase 1 and founder acceptance before implementation"
"D-003","Codex-native phased delivery and independent review","OPS-001","","README.md;producer-inspection.md","Producer validation and inspection are recorded separately from independent review and founder approval.","Chosen reconciled strategy must pass clean independent review before founder approval or identity unlock"
"D-004","Newest mutually compatible stable technology","OPS-004;OPS-005;OPS-006;OPS-007;OPS-009","","06-reference-accessibility-and-implementation.md","Strategy selects no technology version and requires downstream implementability and evidence.","Compatibility exact locks remain in their bounded Phase 1 slice"
"D-005","Audience sectors custom discovery and qualified booking","BR-001;BR-002;BR-003;BR-004;BR-009;FR-004;FR-005;FR-019","ECL-002;ECL-003;ECL-025;ECL-027","01-audience-and-buying-context.md;03-BRAND_STRATEGY.md;04-messaging-architecture.md","Audience target agriculture-first mining-second defense-quarantined custom discovery and verified 30-minute booking shape the strategy.","Founder approves final public positioning; booking operations and claims remain gated"
"D-006","Premium identity and no unsupported superiority","BR-006;BR-007;SEO-009","ECL-001;ECL-002;ECL-006","02-strategic-directions.md;03-BRAND_STRATEGY.md;05-naming-claims-and-terminology.md","Keeps Hengshi Design; recommends Evidence in Motion; retains architectural mineral-neutral as a later identity boundary and prohibits superiority.","After clean review founder may approve elaborated A; B or C preference requires reconciliation revalidation and new review before approval or identity"
"D-007","Verified Work separate from owned Demos with evidence review","BR-007;BR-008;PUB-006;PUB-007;SEO-011","ECL-007;ECL-008;ECL-009;ECL-010;ECL-011;ECL-012;ECL-013;ECL-018;ECL-019;ECL-032;ECL-033","03-BRAND_STRATEGY.md;04-messaging-architecture.md;05-naming-claims-and-terminology.md","Proof architecture and message labels keep verified Work Demos Insights Experts and Trust distinct and fail-closed.","MA-003 and per-item D-019 approval"
"D-008","Semantic HTML and equivalent Quick Access","FR-001;FR-002;SEO-001;SEO-007;UX-002","ECL-001","02-strategic-directions.md;03-BRAND_STRATEGY.md;04-messaging-architecture.md;06-reference-accessibility-and-implementation.md","Semantic clarity is primary and optional immersion adds demonstration without controlling discovery or booking.","Later UX accessibility and implementation evidence"
"D-009","Stable canonical content routes and English launch","BR-010;FR-017;FR-018;SEO-004;SEO-010;SEO-012","ECL-023;ECL-024;ECL-028;ECL-032;ECL-033","04-messaging-architecture.md;05-naming-claims-and-terminology.md","Message architecture covers all approved route families in plain global English with ethical content rules.","Per-route evidence owner and founder publication approval"
"D-010","Five wings ten formal services and shared spaces","BR-005;FR-001;FR-017;UX-008","ECL-004;ECL-014;ECL-015;ECL-029","04-messaging-architecture.md;05-naming-claims-and-terminology.md","Exact wing service and collection names and ordering control semantic accessible and contractual use.","Any shorthand or rename requires UX identity and founder approval"
"D-011","Foundation and wing opening sequence","BR-011;BR-012;FR-003;AI-009;NFR-008","ECL-030","04-messaging-architecture.md;05-naming-claims-and-terminology.md","Reception AI and closed future spaces receive transparent state language; strategy does not imply operational availability.","Later AI UX motion and release gates"
"D-012","Directed point-and-click and accessible recovery","UX-001;UX-002;UX-003;UX-004;UX-005;UX-006;UX-007;UX-008","ECL-026","02-strategic-directions.md;06-reference-accessibility-and-implementation.md","Accessibility recovery and optional immersion are premium brand behaviors; no game-like or reduced-content path.","Independent accessibility UX motion and 3D review"
"D-013","Protect old GLB and require proven new master","UX-009;UX-010;PUB-006","ECL-022","README.md;06-reference-accessibility-and-implementation.md","Protected asset is reference-only and cannot determine the identity or production experience.","MA-004 and later asset provenance approval"
