"rule_id","category","requirement","applies_to","verification_method"
"EC-01","evidence_type","Produce FRAME evidence for every primary template in the batch","B01;B02;B03;B04;B05;B06;B08","Validator counts manifest rows by evidence_type against design-batch-plan.csv"
"EC-02","evidence_type","Produce FOCUSED_FRAME evidence where a profile requires region-level rather than full-frame proof","B01;B02;B03;B04;B05;B06;B08","Validator checks profile minimum_evidence in responsive-state-mode-matrix.csv"
"EC-03","evidence_type","Produce VARIANT evidence for every contracted state and option variant","B01;B02;B03;B04;B05;B06;B08","Validator checks state coverage per profile"
"EC-04","evidence_type","Produce ANNOTATION evidence for interaction focus order semantics and accessibility notes","B01;B02;B03;B04;B05;B06;B08","Validator requires an annotation row per template"
"EC-05","evidence_type","Produce PROTOTYPE evidence for focus return disclosure modal and transition behaviour","B01;B05;B06;B08","Validator requires a prototype row where the template declares interaction"
"EC-06","evidence_type","Produce ROUTE_INSTANCE_SHEET evidence for every route instance assigned to the batch","B02;B03;B04;B05;B06;B08","Validator reconciles against foundation-route-coverage.csv"
"EC-07","evidence_type","Do not produce TEST_CAPTURE evidence under MA-025","all_batches","Validator fails if evidence_type TEST_CAPTURE appears in any manifest"
"EC-08","naming","Every public evidence_id conforms to HSD_UIR_<BATCH>_<TEMPLATE>_<INSTANCE>_<STATE>_<VIEWPORT>_<MODE>_<STREAM>_V<NN>, where <STREAM> is STREAM_HIGH, STREAM_MEDIUM, STREAM_LOW or STREAM_SEMANTIC. <STREAM> is mandatory on every evidence ID; there is no omissible form and no aggregate form. A public frame shows one stream. Excluded staff templates instead require SCOPE_EXCLUDED at that position and stream_id=STREAM-SCOPE-EXCLUDED; this is a nonpublic scope marker, never a fifth stream","all_batches","Validator parses the grammar and resolves every segment including <STREAM> (A-12)"
"EC-09","naming","Revisions increment V<NN> only within the lineage tuple (BATCH, TEMPLATE, INSTANCE, STATE, VIEWPORT, MODE, STREAM), without renaming stable template or instance source IDs","all_batches","Validator compares the seven-part lineage tuple across revisions"
"EC-10","viewport","Cover VP-320 VP-NARROW VP-LANDSCAPE VP-TABLET VP-DESKTOP VP-WIDE and VP-ZOOM-400 where the profile requires it","all_batches","Validator checks viewport_id against the profile required_values"
"EC-11","mode","Cover every accessibility degraded and input mode required by the assigned profile","all_batches","Validator checks mode_id against the profile required_values"
"EC-12","time_limit","Annotate the batch declared WCAG 2.2 SC 2.2.1 branch visibly in evidence","B01;B05;B06;B08","Validator checks time_limit_branch matches design-batch-plan.csv"
"EC-13","time_limit","TL-WARN-EXTEND evidence must show a warning at least 20 seconds before expiry and an extension of at least 10 times the default","B01;B05;B06;B08","Independent accessibility review plus validator annotation presence check"
"EC-14","time_limit","TL-REMOVABLE-ADJUSTABLE evidence must show the off or adjust-before-start control","deferred_B07;deferred_B09","Not exercised under MA-025"
"EC-15","time_limit","No record may select TL-EXCEPTION","all_batches","Validator fails on any TL-EXCEPTION value"
"EC-16","primitive","Every component used maps to a PRIM-* identifier from component-primitives.csv","all_batches","Validator resolves every manifest prim_ids value against the accepted primitive set"
"EC-17","content","Every frame copy is a reference fixture visibly marked REFERENCE FIXTURE — NOT PUBLIC COPY","all_batches","Validator requires the marker in the annotation export and the independent design review confirms visibility"
"EC-18","content","No gated fact may be invented to fill a frame","all_batches","Stop condition SC-01 plus independent design review"
"EC-19","asset","Only D-035 brand-identity assets and semantic tokens are used","all_batches","Validator resolves asset references against docs/phase-1-brand-identity/asset-manifest.json"
