"template_id","template_name","surface_kind","reuse_scope","representative_instance","state_profile","viewport_profile","mode_profile","baseline_frame_name","minimum_reference_evidence","interaction_focus_notes","content_stress_case","primitive_dependencies","gated_inputs","browser_profile","time_limit_branch"
"TPL-PUBLIC-HOME","Public home decision page","route_template","ROUTE-HOME","INST-ROUTE-HOME","SP-PUBLIC-DOCUMENT","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B02_TPL_PUBLIC_HOME_REF_STATE_REST_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Desktop and 320 complete frames; held-proof and missing-asset focused frames; route-instance sheet; responsive/mode annotations","Skip link and semantic landmarks; narrow navigation focus return; Book before optional media; changed-state heading focus","Full name; category; promise; service and sector overview; no proof wall; long explanation and empty evidence","PRIM-001;PRIM-002;PRIM-004;PRIM-007;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-062","Exact public copy entity/legal facts logo public use and route activation","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-SERVICE-COLLECTION","Service collection","route_template","ROUTE-SERVICES","INST-ROUTE-SERVICES","SP-PUBLIC-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B02_TPL_SERVICE_COLLECTION_REF_STATE_POPULATED_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Desktop/320 populated frames; five-wing/ten-service maximum density; loading/held/offline evidence; route sheet","Breadcrumb/nav/search; each formal title is a link; Book and directory remain reachable; no whole-card ambiguity","All five wings and ten services; longest titles; zero related proof; line wrapping at 400%","PRIM-001;PRIM-002;PRIM-003;PRIM-004;PRIM-005;PRIM-009;PRIM-010;PRIM-012;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-062","Final service copy owners proof and release state","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-SERVICE-WING","Service-wing overview","route_template","Five accepted service-wing route instances","INST-ROUTE-WING-DIGITAL","SP-PUBLIC-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B03_TPL_SERVICE_WING_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","One-service and three-service frames; closed/held/opening/open threshold variants; all five route sheets","Breadcrumb and contained-service order; formal title paired with concise sign; canonical link survives closed room","Longest formal title; three-service density; owner/proof absent; ordinal/prerequisite/status text","PRIM-001;PRIM-003;PRIM-007;PRIM-008;PRIM-009;PRIM-010;PRIM-012;PRIM-014;PRIM-016;PRIM-041;PRIM-057;PRIM-058","Wing narratives owners opening wording and active release","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-SERVICE-DETAIL","Service decision detail","route_template","Ten accepted service route instances","INST-ROUTE-SERVICE-PRODUCT-EXPERIENCE","SP-PUBLIC-DETAIL","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B03_TPL_SERVICE_DETAIL_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Desktop/320 rest and held frames; source unavailable/checksum/error variants; ten route sheets","Heading/source/action order; related links; Book; evidence source focus; canonical route after room exit","All ten exact formal titles; scope/boundaries/limitations; empty evidence; AI/trust special limits","PRIM-001;PRIM-003;PRIM-007;PRIM-008;PRIM-011;PRIM-012;PRIM-014;PRIM-016;PRIM-041;PRIM-057;PRIM-058;PRIM-062","Service scope evidence owners claims and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-INDUSTRY-COLLECTION","Industries comparison hub","route_template","ROUTE-INDUSTRIES","INST-ROUTE-INDUSTRIES","SP-PUBLIC-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B03_TPL_INDUSTRY_COLLECTION_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Agriculture/Mining comparison at desktop/320; held evidence; D-025 authority note; route sheet","Both sector links are semantic and equal; related service/Book actions; no image-dependent differentiation","Long reviewed-context placeholders; no sector-history proof; no defense item","PRIM-001;PRIM-003;PRIM-007;PRIM-009;PRIM-010;PRIM-013;PRIM-014;PRIM-016;PRIM-057;PRIM-058","Sector copy reviewers evidence imagery and activation","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-INDUSTRY-DETAIL","Industry intersection detail","route_template","Agriculture and Mining route instances","INST-ROUTE-INDUSTRY-AGRICULTURE","SP-PUBLIC-DETAIL","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B03_TPL_INDUSTRY_DETAIL_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Agriculture and Mining route sheets; desktop/320 held frames; stereotype-safe missing-image evidence","Reviewed context then service intersections/evidence/limits/Book; focus on route H1; no canvas dependency","Long sector context; maximum service intersections; no expert/work proof; imagery absent","PRIM-001;PRIM-003;PRIM-007;PRIM-010;PRIM-013;PRIM-014;PRIM-016;PRIM-041;PRIM-057;PRIM-058","Sector expertise/history reviewers imagery rights and claims","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-WORK-COLLECTION","Verified Work collection","route_template","ROUTE-WORK","INST-ROUTE-WORK","SP-EVIDENCE-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_WORK_COLLECTION_REF_STATE_EMPTY_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Approved honest-empty candidate and held state; structural maximum-density fixture; desktop/320; Work/Demo distinction","Collection heading/status announced; item titles are links; next service/Book path; static browse fallback","Zero verified cases; one/max structural fixture visibly non-public; long source/limitation; missing images","PRIM-001;PRIM-007;PRIM-009;PRIM-010;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-061","Public empty-state decision and every case fact right source owner and approval","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-WORK-DETAIL","Verified Work detail pattern","route_template","ROUTE-WORK-DETAIL pattern","INST-ROUTE-WORK-DETAIL","SP-EVIDENCE-DETAIL","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_WORK_DETAIL_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Held pattern frame; structural verified variant; source/checksum/asset failure; long-form print and route sheet","Source list in reading order; media alternatives; related links; Book; status updates without focus theft","Long case title/method/source/limitation; missing client/media/outcome; table and chart alternatives","PRIM-001;PRIM-003;PRIM-007;PRIM-011;PRIM-014;PRIM-016;PRIM-045;PRIM-057;PRIM-058;PRIM-059;PRIM-060;PRIM-061","Real case claim client consent outcomes dates assets rights and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-DEMO-COLLECTION","Hengshi-owned Demos collection","route_template","ROUTE-DEMOS","INST-ROUTE-DEMOS","SP-EVIDENCE-COLLECTION","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_DEMO_COLLECTION_REF_STATE_EMPTY_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Honest-empty/held frames; structural populated variant; explicit Demo-vs-Work labeling; desktop/320","Collection status and source grammar; title links; service/Book recovery; no implied client association","Full Hengshi-owned capability demonstration label; zero items; long limitations; missing asset","PRIM-001;PRIM-007;PRIM-009;PRIM-010;PRIM-014;PRIM-016;PRIM-057;PRIM-058;PRIM-061","Demo ownership provenance reproducibility security rights and publication","BP-NFR-006","TL-NOT-APPLICABLE"
"TPL-DEMO-DETAIL","Hengshi-owned Demo detail pattern","route_template","ROUTE-DEMO-DETAIL pattern","INST-ROUTE-DEMO-DETAIL","SP-EVIDENCE-DETAIL","VP-PUBLIC","MP-PUBLIC","HSD_UIR_B04_TPL_DEMO_DETAIL_REF_STATE_HELD_VP_DESKTOP_MODE_STANDARD_STREAM_SEMANTIC_V01","Held pattern and structural demo-state frames; provenance/limitation; asset/source/error; print and route sheet","Visible Demo label before claims; source/provenance reading order; related services/Book; no media trap","Long reproducibility steps and limitations; absent media; data table/chart alternative","PRIM-001;PRIM-003;PRIM-007;PRIM-011;PRIM-014;PRIM-016;PRIM-045;PRIM-057;PRIM-058;PRIM-059;PRIM-060;PRIM-061","Approved owned demo evidence inputs rights review and publication","BP-NFR-006","TL-NOT-APPLICABLE"
