"profile_id","dimension","applies_to","required_values","minimum_evidence","critical_distinct_frame_values","annotation_requirements","exception_rule","browser_profile","time_limit_branch"
"VP-PUBLIC","viewport","Public semantic documents collections and evidence","VP-320;VP-NARROW;VP-LANDSCAPE;VP-TABLET;VP-DESKTOP;VP-WIDE;VP-ZOOM-400","Complete FRAME at VP-320 and VP-DESKTOP; responsive FRAME or ANNOTATION at every other value; content-stress evidence at VP-320 VP-LANDSCAPE and VP-ZOOM-400","VP-320;VP-DESKTOP;VP-ZOOM-400","Grid/reading order; wrapping; navigation disclosure; sticky obstruction; data/list alternative; print width when applicable","None may be omitted; a visually identical intermediate viewport may use an annotation linked to both bounding frames","BP-NFR-006","TL-NOT-APPLICABLE"
"VP-INTERACTIVE","viewport","AI handoff booking contact and transactional panels","VP-320;VP-NARROW;VP-LANDSCAPE;VP-TABLET;VP-DESKTOP;VP-WIDE;VP-ZOOM-400","Complete FRAME at VP-320 VP-LANDSCAPE and VP-DESKTOP; interaction annotations and error-summary/focus evidence at all values","VP-320;VP-LANDSCAPE;VP-DESKTOP;VP-ZOOM-400","Field order; action stacking; keyboard visibility; error summary; local-time strings; safe-area and virtual-keyboard implications","None may be omitted; VP-WIDE may reuse desktop structure only with measured line-length and control-placement annotation","BP-NFR-006","TL-WARN-EXTEND"
"VP-WORLD","viewport","World stream onboarding HUD panels thresholds and Quick Access recovery","VP-320;VP-NARROW;VP-LANDSCAPE;VP-TABLET;VP-DESKTOP;VP-WIDE;VP-ZOOM-400","HUD/choice/recovery FRAME at VP-320 VP-LANDSCAPE VP-DESKTOP and VP-ZOOM-400; stable semantic Quick Access pair for each","VP-320;VP-LANDSCAPE;VP-DESKTOP;VP-ZOOM-400","DOM overlay order; safe areas; focus; no canvas-only controls; long location/formal title; touch target spacing","A 3D viewport may be absent only in MODE-SEMANTIC-SHELL; the equivalent semantic evidence remains mandatory","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"VP-STAFF","viewport","Staff authentication queues work detail publication review release and audit","VP-320;VP-NARROW;VP-LANDSCAPE;VP-TABLET;VP-DESKTOP;VP-WIDE;VP-ZOOM-400","FRAME at VP-320 VP-TABLET VP-DESKTOP and VP-ZOOM-400; table-to-list/detail behavior and long-ID stress","VP-320;VP-TABLET;VP-DESKTOP;VP-ZOOM-400","Queue/detail priority; version/checksum wrapping; bulk density without hidden actions; permission/status visibility; focus order","Dense data may scroll in one axis only when genuinely tabular and an equivalent record-detail reading path exists","BP-NFR-006","TL-WARN-EXTEND"
"MP-PUBLIC","mode","Public semantic routes and evidence","MODE-STANDARD;MODE-REDUCED-MOTION;MODE-LOW-POWER;MODE-SEMANTIC-SHELL;MODE-FORCED-COLORS;MODE-GRAYSCALE;MODE-UNAVAILABLE-FONT;MODE-UNAVAILABLE-IMAGE-ASSET;MODE-PRINT;MODE-KEYBOARD;MODE-SCREEN-READER","Standard frames plus focused mode evidence; forced-colors/grayscale/font/asset/print captures; keyboard path and screen-reader semantic annotation","MODE-STANDARD;MODE-FORCED-COLORS;MODE-PRINT;MODE-UNAVAILABLE-IMAGE-ASSET","Evidence-label redundancy; contrast; reading order; focus; missing asset alternative; no motion/color/material/image-only meaning","Print may be marked not applicable only for a purely transient overlay whose underlying document provides the same printable truth","BP-NFR-006","TL-NOT-APPLICABLE"
"MP-INTERACTIVE","mode","AI handoff booking contact navigation and dialogs","MODE-STANDARD;MODE-REDUCED-MOTION;MODE-LOW-POWER;MODE-SEMANTIC-SHELL;MODE-FORCED-COLORS;MODE-GRAYSCALE;MODE-UNAVAILABLE-FONT;MODE-UNAVAILABLE-IMAGE-ASSET;MODE-PRINT;MODE-KEYBOARD;MODE-SCREEN-READER","Standard and critical state frames; forced-color and font/asset captures; keyboard prototype; screen-reader specification; printable summary where applicable","MODE-STANDARD;MODE-FORCED-COLORS;MODE-KEYBOARD;MODE-SCREEN-READER","No focus theft/trap; accessible names/status; disabled versus pending; input purpose; redundant entry; safe reauthentication","Print interaction controls may be omitted only when a truthful printable status/summary and non-print action route are specified","BP-NFR-006","TL-WARN-EXTEND"
"MP-WORLD","mode","World stream and HUD","MODE-STANDARD;MODE-REDUCED-MOTION;MODE-LOW-POWER;MODE-SEMANTIC-SHELL;MODE-FORCED-COLORS;MODE-GRAYSCALE;MODE-UNAVAILABLE-FONT;MODE-UNAVAILABLE-IMAGE-ASSET;MODE-KEYBOARD;MODE-SCREEN-READER","Standard HUD/onboarding frames; stable reduced/low-power states; paired Quick Access; forced-colors DOM overlay; asset failure; keyboard and semantics","MODE-STANDARD;MODE-REDUCED-MOTION;MODE-LOW-POWER;MODE-SEMANTIC-SHELL;MODE-UNAVAILABLE-IMAGE-ASSET","No canvas-only label/action; audio off; persistent Exit/Book/Quick Access; location announcement; no essential camera travel","MODE-PRINT is not applicable to the live World canvas; canonical semantic route print evidence remains required through MP-PUBLIC. Stream-axis precedence, stated so no producer has to infer it: where this mode axis excludes a mode that a stream in presence(record) requires, the stream axis prevails and the frame is drawn. The governing instance is MODE-PRINT, excluded from the live World canvas and required by DS-S-SEMANTIC: both are true, and the frame is drawn in S-SEMANTIC","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"MP-STAFF","mode","Staff and publication surfaces","MODE-STANDARD;MODE-REDUCED-MOTION;MODE-LOW-POWER;MODE-FORCED-COLORS;MODE-GRAYSCALE;MODE-UNAVAILABLE-FONT;MODE-UNAVAILABLE-IMAGE-ASSET;MODE-PRINT;MODE-KEYBOARD;MODE-SCREEN-READER","Standard frames and critical permission/stale/error states; forced-colors and font stress; keyboard/screen-reader annotations; audit/review print evidence","MODE-STANDARD;MODE-FORCED-COLORS;MODE-KEYBOARD;MODE-SCREEN-READER","Server authority is stated; role denial leaks nothing; checksum/version visible; status not color-only; mutation audit context","MODE-SEMANTIC-SHELL is inherently satisfied because staff UI cannot depend on WebGL; record as annotation rather than a separate frame","BP-NFR-006","TL-WARN-EXTEND"
"SP-PUBLIC-DOCUMENT","state","Home About and general semantic documents","STATE-REST;STATE-LOADING;STATE-DEGRADED;STATE-HELD;STATE-UNAVAILABLE;STATE-OFFLINE;STATE-ERROR;STATE-404;STATE-410;STATE-ASSET-FAILURE;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Baseline frames plus distinct held/error/offline/asset-failure focused evidence and 404/410 route behavior annotation","STATE-REST;STATE-HELD;STATE-ERROR;STATE-OFFLINE;STATE-ASSET-FAILURE","Last authoritative content; H1/location; direct Book; retry/directory/home; focus destination and announcement","A state may use a shared system-status template only when route context and primary recovery remain visible","BP-NFR-006","TL-NOT-APPLICABLE"
"SP-PUBLIC-COLLECTION","state","Services wings industries and other non-evidence collections","STATE-REST;STATE-LOADING;STATE-POPULATED;STATE-EMPTY;STATE-HELD;STATE-STALE;STATE-UNAVAILABLE;STATE-OFFLINE;STATE-ERROR;STATE-FOCUS;STATE-STREAM-CHANGED;STATE-PREFERENCE-WRITE-FAILED","Populated and honest-empty frames; held/error/offline focused frames; maximum-density and one-item stress","STATE-POPULATED;STATE-EMPTY;STATE-HELD;STATE-ERROR","Collection purpose; count-independent hierarchy; clean canonical items; browse/search/Book recovery; no placeholder proof","Empty requires authority; if an empty public state is not approved show held/unindexed reference evidence instead","BP-NFR-006","TL-NOT-APPLICABLE"
