criterion_id,criterion,driving_authority,figma_assessment,stitch_assessment,decision,evidence_state
PE-01,Persistent component and variant model for the VARIANT evidence unit,UI_REFERENCE_DESIGN_CONTRACT.md section 5,Components with named variant properties give addressable and diffable variant sets,Generative screen output has no persistent variant-property model,figma,accepted_contract_requirement
PE-02,Interaction prototyping for the PROTOTYPE evidence unit,UI_REFERENCE_DESIGN_CONTRACT.md section 5,Prototype links interactions overlays and focus-return behaviour are first-class,No equivalent interaction-prototyping surface,figma,accepted_contract_requirement
PE-03,Published library mapping for the 62 PRIM-* primitives,UI_REFERENCE_DESIGN_CONTRACT.md section 2.2 and component-primitives.csv,A published component library gives each PRIM-* a stable node and property set,No reusable published-library model,figma,accepted_contract_requirement
PE-04,Stable frame identity across V01 to VNN revisions,UI_REFERENCE_DESIGN_CONTRACT.md section 6,Frames are named addressable and stable across versions,Regeneration produces new artifacts so identity is not stable by construction,figma,accepted_contract_requirement
PE-05,Anchored threaded review comments for two independent reviews per batch,UI_REFERENCE_DESIGN_CONTRACT.md section 14 and constitution principle VII,Comments anchor to a frame or region and survive revision,No anchored review surface,figma,accepted_contract_requirement
PE-06,File-key and page/frame inventory handoff without credentials,UI_REFERENCE_DESIGN_CONTRACT.md section 15,The required phrasing already presumes a file-key addressing model,No file-key concept,figma,accepted_contract_requirement
PE-07,Named version checkpoints and file export for rollback,MA-025 contract section 9,Named version history plus archive export gives a real restore point,No versioned rollback of a generation,figma,accepted_contract_requirement
PE-08,Scale across 40 templates 7 viewports states and modes over 8 authorized batches,design-batch-plan.csv and responsive-state-mode-matrix.csv,Durable multi-page multi-library file system,Not designed as a system of record,figma,accepted_contract_requirement
PE-09,Constitution IV permits either approved Stitch or approved Figma references,.specify/memory/constitution.md principle IV,Satisfies the requirement,Would also satisfy the requirement in principle,either_permitted_figma_selected,governance_permits_both
PE-10,MCP or API exposure on the current host,AGENTS.md MCP source-of-truth block,Not configured or exposed on this host,Not configured or exposed on this host,neither_available_enablement_required,verified_absent_2026_09_06
PE-11,Free-tier file page editor retention and Dev Mode limits,MA-025 contract section 7.2,Tier structure observed but five limits not attributable from the pricing page,Page returned title only with no usable body,must_verify_at_gate,not_established
PE-12,Ideation-only exploratory use,MA-025 contract section 1.3,Not required for ideation,Possible later under a separate external-write gate,deferred_not_proposed,out_of_scope
