coverage_id,coverage_kind,source_id,flow_family,action_name,template_ids,state_profile,viewport_profile,mode_profile,success_or_expected_state,error_empty_pending_state,recovery,linked_tests,gate,browser_profile,time_limit_branch
"COV-FLOW-NAVIGATION-SEARCH","flow_family","FLOW-NAVIGATION-SEARCH","NAVIGATION_SEARCH","Semantic navigation breadcrumbs directory search and clean canonical result access","TPL-GLOBAL-NAVIGATION;TPL-DIRECTORY-SEARCH","SP-NAVIGATION","VP-INTERACTIVE","MP-INTERACTIVE","Every public destination and active-release result remains semantically reachable","Closed menu empty query no results stale index offline focus interruption 404 and 410 are distinct","Initial HTML links static directory clear browse nearest canonical Home or Book with predictable focus","UXTEST-001;UXTEST-002;UXTEST-004;UXTEST-008;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-024;UXTEST-039;UXTEST-044","Route activation search provider and any URL-backed search/filter state remain gated","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-FLOW-FIRST-VISIT","flow_family","FLOW-FIRST-VISIT","FIRST_RETURN_VISIT","First visit semantic access and optional World choice","TPL-FIRST-VISIT;TPL-GLOBAL-NAVIGATION","SP-FIRST-VISIT","VP-WORLD","MP-WORLD","Semantic content has no modal gate; World choice explains controls and offers standard reduced low-power skip and Quick Access","Preference write failure or optional experience failure cannot block content or Book","Continue with session defaults or Quick Access and focus the H1/location announcement","UXTEST-001;UXTEST-005;UXTEST-007;UXTEST-021;UXTEST-023;UXTEST-025","Final onboarding copy preference persistence and World production remain gated","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-FLOW-RETURN-VISIT","flow_family","FLOW-RETURN-VISIT","FIRST_RETURN_VISIT","Return choice with Resume Reception Replay and Quick Access","TPL-RETURN-VISIT;TPL-QUICK-ACCESS-RECOVERY","SP-RETURN-VISIT","VP-WORLD","MP-WORLD","Valid non-sensitive public location can be resumed without identity inference","Absent stale closed retired unavailable or checksum-mismatched location is stated truthfully","Reception nearest canonical or Quick Access; stale preference cleared with status","UXTEST-006;UXTEST-007;UXTEST-021;UXTEST-022;UXTEST-025","Preference storage exact copy and active destination remain gated","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-FLOW-WORLD-HUD-FALLBACK","flow_family","FLOW-WORLD-HUD-FALLBACK","WORLD_HUD_FALLBACK","Optional World onboarding loader Reception HUD wayfinding room states Exit and Quick Access","TPL-WORLD-SHELL;TPL-WORLD-HUD;TPL-QUICK-ACCESS-RECOVERY","SP-WORLD","VP-WORLD","MP-WORLD","Same active release and actions as semantic route with persistent DOM controls","Unsupported WebGL low power asset/network/context/memory/thermal/transition and mapping failures remain non-success states","Immediate Quick Access with safe route/wing context and no content or booking loss","UXTEST-003;UXTEST-005;UXTEST-007;UXTEST-021;UXTEST-023;UXTEST-025;UXTEST-038;UXTEST-039;UXTEST-040","3D storyboard assets provenance performance copy and external production remain gated","BP-NFR-006","TL-REMOVABLE-ADJUSTABLE"
"COV-FLOW-AI","flow_family","FLOW-AI","AI","Anonymous Reception AI Concierge consent grounding source refusal resume human and Book flow","TPL-AI-CONCIERGE;TPL-QUICK-ACCESS-RECOVERY","SP-AI","VP-INTERACTIVE","MP-INTERACTIVE","Sourced answer safe refusal deliberate handoff or deliberate Book","Missing conflicting stale private or disallowed evidence plus provider policy session and transport failures are explicit","Cannot verify approved source new ephemeral session explicitly available human Contact or Book","UXTEST-009;UXTEST-010;UXTEST-011;UXTEST-021;UXTEST-022;UXTEST-024;UXTEST-025","Exact consent/refusal/legal copy knowledge bundle providers entitlement and live capability remain gated","BP-NFR-006","TL-WARN-EXTEND"
"COV-FLOW-HUMAN-HANDOFF","flow_family","FLOW-HUMAN-HANDOFF","HUMAN_HANDOFF_MEDIA","Explicitly available human durable handoff and governed text conversation","TPL-HUMAN-HANDOFF;TPL-QUICK-ACCESS-RECOVERY","SP-HANDOFF-MEDIA","VP-INTERACTIVE","MP-INTERACTIVE","One durable request reaches accepted text-active or a deliberate Book path","Unavailable staff consent decline duplicate console outage pending alert failure expiry and decline stay truthful","Resume or refresh durable state retry alert staff-side continue text Contact or Book without an SLA","UXTEST-012;UXTEST-032;UXTEST-033","Owners backups availability consent groups recipients escalation closure and SLA remain gated","BP-NFR-006","TL-WARN-EXTEND"
"COV-FLOW-MEDIA-OPT-IN","flow_family","FLOW-MEDIA-OPT-IN","HUMAN_HANDOFF_MEDIA","Separate voice/video opt-in and accessible media alternatives","TPL-MEDIA-OPT-IN;TPL-HUMAN-HANDOFF","SP-HANDOFF-MEDIA","VP-INTERACTIVE","MP-INTERACTIVE","Media starts only after explicit permission with required alternatives","Declined denied unsupported failed or missing captions transcript description rights remains held","Text and Book continue; permission guidance; media never restarts automatically","UXTEST-013;UXTEST-025;UXTEST-041","Provider rights captions transcript audio description applicability and live capability remain gated","BP-NFR-006","TL-WARN-EXTEND"
"COV-FLOW-BOOKING-LINEAGE","flow_family","FLOW-BOOKING-LINEAGE","BOOKING_LINEAGE","Complete direct booking qualification email ownership availability slot review durable pending confirmation reschedule and cancellation lineage","TPL-BOOKING-SHELL;TPL-BOOKING-QUALIFICATION;TPL-BOOKING-VERIFICATION;TPL-BOOKING-AVAILABILITY;TPL-BOOKING-RECONCILIATION","SP-BOOKING","VP-INTERACTIVE","MP-INTERACTIVE","One verified consented reconciled 30-minute qualified booking lineage","Every validation consent challenge availability slot offline duplicate provider ambiguity session reschedule and cancel branch remains distinct; pending is never success","Correct status-check resend reauthenticate refresh reconcile or approved support under the same lineage and idempotency identity","UXTEST-004;UXTEST-014;UXTEST-015;UXTEST-016;UXTEST-017;UXTEST-018;UXTEST-019;UXTEST-020;UXTEST-042;UXTEST-043;UXTEST-044;UXTEST-045","Exact legal copy provider mailbox owner availability challenge timing no-slot reschedule cancel retention and support remain gated","BP-NFR-006","TL-WARN-EXTEND"
"COV-FLOW-CONTACT","flow_family","FLOW-CONTACT","CONTACT","Verified contact/help choices and idempotent submission states","TPL-PUBLIC-CONTACT;TPL-QUICK-ACCESS-RECOVERY","SP-CONTACT","VP-INTERACTIVE","MP-INTERACTIVE","One truthful accepted or pending contact record through an approved channel","Channels held invalid consent-declined duplicate unavailable offline and failed states do not imply delivery","Correct same-idempotency retry verified alternate or Book without a response promise","UXTEST-004;UXTEST-015;UXTEST-021;UXTEST-022;UXTEST-023;UXTEST-026","Verified channels fields consent/privacy copy owner routing retention and SLA remain gated","BP-NFR-006","TL-NOT-APPLICABLE"
"COV-FLOW-STAFF-PUBLICATION","flow_family","FLOW-STAFF-PUBLICATION-OPERATIONS","STAFF_PUBLICATION_OPERATIONS","Staff availability conversation assignment booking exception evidence SEO knowledge publication and audit operations","TPL-STAFF-QUEUE;TPL-STAFF-WORK-DETAIL;TPL-PUBLICATION-EDITOR;TPL-PUBLICATION-REVIEW-RELEASE;TPL-AUDIT-INSPECTION","SP-STAFF-WORK","VP-STAFF","MP-STAFF","Authorized version-aware auditable operation reaches truthful success","Empty loading pending stale conflict unavailable provider derived-index permission and session states remain distinct","Refresh durable truth reauthenticate hold return through workflow reconcile or approved escalation; prior public release remains active","UXTEST-027;UXTEST-028;UXTEST-029;UXTEST-031;UXTEST-032;UXTEST-033;UXTEST-034;UXTEST-035;UXTEST-036;UXTEST-037","Named roles owners fields providers reasons escalation legal sign-off and activation authority remain gated","BP-NFR-006","TL-WARN-EXTEND"
