"decision_id","decision_summary","requirement_ids","strategy_source","identity_artifacts","identity_effect","remaining_gate"
"D-001","Preserve repository and protected prototype evidence","OPS-002;UX-009","03-BRAND_STRATEGY.md;06-reference-accessibility-and-implementation.md","README.md;01-identity-principles.md;06-motion-sound-and-3d.md","No prototype or GLB geometry, material, or layout is reused; identity writes are isolated.","MA-004 and later 3D asset approval remain"
"D-002","Definition before application development","OPS-003","README.md","README.md;BRAND_IDENTITY.md;handoff.md","Identity is definition and local review evidence only, with no UI or application code.","Complete Phase 1 founder acceptance before implementation"
"D-003","Codex-native phased delivery and independent review","OPS-001","README.md;producer-inspection.md","README.md;validation/validate-brand-identity.ps1;producer-inspection.md;handoff.md","Producer creates, validates, and inspects; independent design/accessibility review and founder approval remain separate.","Clean independent reviews and founder choice"
"D-004","Newest mutually compatible stable technology","OPS-004;OPS-005;OPS-006;OPS-007","06-reference-accessibility-and-implementation.md","04-color-and-typography.md;semantic-tokens.json","Identity selects no dependency or exact implementation version and uses dependency-free local specimens.","Compatibility and later implementation evidence"
"D-005","Audience, sector order, custom discovery, qualified booking","BR-001;BR-002;BR-003;BR-004;BR-009;FR-004;FR-005;FR-019","01-audience-and-buying-context.md;04-messaging-architecture.md","05-imagery-iconography-and-data.md;07-accessibility-seo-and-applications.md;visual-boards/index.html","Identity supports enterprise decision clarity, agriculture-first/mining-second context, defense quarantine, and direct booking.","Sector evidence, booking operations, and publication approval"
"D-006","Premium identity without unsupported superiority","BR-006;BR-007;SEO-009","02-strategic-directions.md;03-BRAND_STRATEGY.md;05-naming-claims-and-terminology.md","BRAND_IDENTITY.md;02-visual-directions.md;03-logo-system.md;04-color-and-typography.md","Creates an original premium system from Evidence in Motion while prohibiting novelty and superiority claims.","Founder mark selection and trademark/legal clearance"
"D-007","Verified Work separated from Hengshi-owned Demos","BR-007;BR-008;PUB-006;PUB-007;SEO-011","03-BRAND_STRATEGY.md;04-messaging-architecture.md","04-color-and-typography.md;05-imagery-iconography-and-data.md;visual-boards/index.html","Distinct text, shape, line, and color evidence encodings prevent proof-type ambiguity.","MA-003 and per-item evidence/publication approval"
"D-008","Semantic HTML and equivalent Quick Access","FR-001;FR-002;SEO-001;SEO-007;UX-002","03-BRAND_STRATEGY.md;06-reference-accessibility-and-implementation.md","README.md;01-identity-principles.md;06-motion-sound-and-3d.md;07-accessibility-seo-and-applications.md;visual-boards/index.html","Full semantic text and Quick Access are primary and equivalent to optional immersive expression.","Later UX, accessibility, SEO, and implementation evidence"
"D-009","Stable canonical content routes and English launch","BR-010;FR-017;FR-018;SEO-004;SEO-010;SEO-012","04-messaging-architecture.md;05-naming-claims-and-terminology.md","05-imagery-iconography-and-data.md;07-accessibility-seo-and-applications.md","Full Hengshi Design name, exact taxonomy, plain global English, and truthful social/media rules support entity clarity.","Per-route content, evidence, and publication approval"
"D-010","Five wings, ten formal services, shared spaces","BR-005;FR-001;FR-017;UX-008","04-messaging-architecture.md;05-naming-claims-and-terminology.md","01-identity-principles.md;05-imagery-iconography-and-data.md;06-motion-sound-and-3d.md","Formal titles remain semantic authority; no concise campus sign names are selected.","Any shorthand requires UX/identity test and founder approval"
"D-011","Foundation launches before wings","BR-011;BR-012;FR-003;AI-009;NFR-008","04-messaging-architecture.md;05-naming-claims-and-terminology.md","06-motion-sound-and-3d.md;07-accessibility-seo-and-applications.md","Motion timing and transparent unavailable states support a skippable foundation without implying open wings or live AI.","Later motion, 3D, AI, and release gates"
"D-012","Directed exploration and accessible recovery","FR-012;FR-013;FR-014;UX-001;UX-002;UX-003;UX-004;UX-005;UX-006;UX-007;UX-008","03-BRAND_STRATEGY.md;06-reference-accessibility-and-implementation.md","04-color-and-typography.md;05-imagery-iconography-and-data.md;06-motion-sound-and-3d.md;07-accessibility-seo-and-applications.md","Keyboard, screen-reader, reduced-motion, non-WebGL, low-power, asset-failure, opt-in audio, and recovery behavior are explicit.","Independent accessibility/UX/motion/3D review"
"D-013","Protect old GLB and require proven Blender replacement","UX-009;UX-010;PUB-006","06-reference-accessibility-and-implementation.md","README.md;05-imagery-iconography-and-data.md;06-motion-sound-and-3d.md;asset-manifest.json","No old geometry or material is used; 3D implications are textual only.","MA-004 and later Blender provenance/approval"
"D-014","Azure target and immutable delivery","DATA-001;DATA-002;OPS-010;OPS-012","03-BRAND_STRATEGY.md","01-identity-principles.md;05-imagery-iconography-and-data.md","Identity avoids provider-led positioning and does not convert future operational targets into current assurance.","Architecture, deployment, and evidence gates"
"D-015","Approved-knowledge AI policy routing","AI-001;AI-002;AI-003;AI-004;AI-005;AI-006;AI-007;AI-008","03-BRAND_STRATEGY.md;05-naming-claims-and-terminology.md","05-imagery-iconography-and-data.md;07-accessibility-seo-and-applications.md","AI is visibly labeled; sparkle/magic tropes and operational/accuracy/security claims are prohibited.","Provider, grounding, security, privacy, and publication evidence"
