record_type,wing_key,release_ordinal,release_prerequisite,concise_sign,formal_title,accessible_semantic_title,route_id,canonical_path,room_id,closed_behavior,held_content_behavior,opening_behavior,open_behavior
wing,ai_data,1,"Foundation accepted: responsive foundation; Reception/atrium; Reception AI Concierge; handoff; direct booking","AI + Data","AI, Data & Automation","AI, Data & Automation wing",ROUTE-WING-AI-DATA,/services/ai-data-automation,WING-AI-DATA,"Threshold labeled Closed; not traversable; canonical Quick Access remains available when its route is active","Threshold labeled Content held; no panel claims or room entry; canonical route remains available only in its truthful active state","Authorized candidate preview only; label Opening soon only if separately approved copy supports it; not publicly traversable until atomic activation","Traversable only in active approved release; directory and full semantic title remain available"
service,ai_data,1,"Foundation accepted: responsive foundation; Reception/atrium; Reception AI Concierge; handoff; direct booking","AI + Automation","AI Systems & Agentic Automation","AI Systems & Agentic Automation",ROUTE-SERVICE-AI-AUTOMATION,/services/ai-data-automation/ai-systems-agentic-automation,ROOM-AI-AUTOMATION,"Room labeled Closed; canonical Quick Access page remains reachable when active","Room labeled Content held; no capability content shown","Candidate panel nonpublic; no opening claim without approved copy; canonical active page remains authoritative","Active panel uses same release checksum and links to canonical page"
service,ai_data,1,"Foundation accepted: responsive foundation; Reception/atrium; Reception AI Concierge; handoff; direct booking","Data + Analytics","Data Platforms & Analytics","Data Platforms & Analytics",ROUTE-SERVICE-DATA-ANALYTICS,/services/ai-data-automation/data-platforms-analytics,ROOM-DATA-ANALYTICS,"Room labeled Closed; canonical Quick Access page remains reachable when active","Room labeled Content held; no capability content shown","Candidate panel nonpublic; no opening claim without approved copy; canonical active page remains authoritative","Active panel uses same release checksum and links to canonical page"
wing,strategy,2,"Wing ordinal 1 is open in the same or prior active approved release","Strategy","Strategy & Transformation","Strategy & Transformation wing",ROUTE-WING-STRATEGY,/services/strategy-transformation,WING-STRATEGY,"Threshold labeled Closed; not traversable; canonical Quick Access remains available when its route is active","Threshold labeled Content held; no panel claims or room entry; canonical route remains available only in its truthful active state","Authorized candidate preview only; label Opening soon only if separately approved copy supports it; not publicly traversable until atomic activation","Traversable only after ordinal 1 is open and this wing is in the active approved release"
service,strategy,2,"Wing ordinal 1 is open in the same or prior active approved release","Strategy + Architecture","Strategy & Architecture","Strategy & Architecture",ROUTE-SERVICE-STRATEGY-ARCHITECTURE,/services/strategy-transformation/strategy-architecture,ROOM-STRATEGY-ARCHITECTURE,"Room labeled Closed; canonical Quick Access page remains reachable when active","Room labeled Content held; no capability content shown","Candidate panel nonpublic; no opening claim without approved copy; canonical active page remains authoritative","Active panel uses same release checksum and links to canonical page"
wing,immersive_creative,3,"Wing ordinals 1 and 2 are open in the same or prior active approved release","Immersive + Creative","Immersive & Creative","Immersive & Creative wing",ROUTE-WING-IMMERSIVE,/services/immersive-creative,WING-IMMERSIVE-CREATIVE,"Threshold labeled Closed; not traversable; canonical Quick Access remains available when its route is active","Threshold labeled Content held; no panel claims or room entry; canonical route remains available only in its truthful active state","Authorized candidate preview only; label Opening soon only if separately approved copy supports it; not publicly traversable until atomic activation","Traversable only after ordinals 1-2 are open and this wing is in the active approved release"
service,immersive_creative,3,"Wing ordinals 1 and 2 are open in the same or prior active approved release","Spatial + Immersive","Spatial Computing & Immersive Platforms","Spatial Computing & Immersive Platforms",ROUTE-SERVICE-SPATIAL,/services/immersive-creative/spatial-computing-immersive-platforms,ROOM-SPATIAL-IMMERSIVE,"Room labeled Closed; canonical Quick Access page remains reachable when active","Room labeled Content held; no capability content shown","Candidate panel nonpublic; no opening claim without approved copy; canonical active page remains authoritative","Active panel uses same release checksum and links to canonical page"
service,immersive_creative,3,"Wing ordinals 1 and 2 are open in the same or prior active approved release","Creative + Visual","Creative & Visual Design Services","Creative & Visual Design Services",ROUTE-SERVICE-CREATIVE,/services/immersive-creative/creative-visual-design-services,ROOM-CREATIVE-VISUAL,"Room labeled Closed; canonical Quick Access page remains reachable when active","Room labeled Content held; no capability content shown","Candidate panel nonpublic; no opening claim without approved copy; canonical active page remains authoritative","Active panel uses same release checksum and links to canonical page"
wing,digital_products_growth,4,"Wing ordinals 1 through 3 are open in the same or prior active approved release","Digital + Growth","Digital Products & Growth","Digital Products & Growth wing",ROUTE-WING-DIGITAL,/services/digital-products-growth,WING-DIGITAL-GROWTH,"Threshold labeled Closed; not traversable; canonical Quick Access remains available when its route is active","Threshold labeled Content held; no panel claims or room entry; canonical route remains available only in its truthful active state","Authorized candidate preview only; label Opening soon only if separately approved copy supports it; not publicly traversable until atomic activation","Traversable only after ordinals 1-3 are open and this wing is in the active approved release"
service,digital_products_growth,4,"Wing ordinals 1 through 3 are open in the same or prior active approved release","Platforms + Products","Platform & Product Engineering","Platform & Product Engineering",ROUTE-SERVICE-PLATFORM-PRODUCT,/services/digital-products-growth/platform-product-engineering,ROOM-PLATFORM-PRODUCT,"Room labeled Closed; canonical Quick Access page remains reachable when active","Room labeled Content held; no capability content shown","Candidate panel nonpublic; no opening claim without approved copy; canonical active page remains authoritative","Active panel uses same release checksum and links to canonical page"
